id,ORIG_FID,fclass,name,Shape_Length,longitude,latitude
9799,5627,service, ,113.8002446,13.2356048,55.71887402
9800,5627,service, ,113.8002446,13.23502557,55.7185754
9801,5628,tertiary,Brunnshögsgatan,78.1831198,13.22994085,55.71616933
9802,5629,living_street,Programmeraregatan,100.9244663,13.22990072,55.71775772
9803,5629,living_street,Programmeraregatan,100.9244663,13.23069649,55.71775575
9804,5630,living_street,Soluppgången,74.50042048,13.23073366,55.71753595
9805,5631,living_street,Solvändan,81.06642081,13.23119689,55.71751965
9806,5632,living_street,Systemeraregatan,121.708153,13.2298948,55.71707439
9807,5632,living_street,Systemeraregatan,121.708153,13.23069009,55.71708672
9808,5633,tertiary,Neversvägen,121.8136892,13.23244842,55.7162821
9809,5633,tertiary,Neversvägen,121.8136892,13.2317758,55.71642518
9810,5635,path, ,69.97292483,13.19746493,55.70428169
9811,5637,residential,Uardavägen,224.067673,13.22971408,55.71443486
9812,5637,residential,Uardavägen,224.067673,13.229578,55.71487745
9813,5637,residential,Uardavägen,224.067673,13.22941006,55.71531615
9814,5637,residential,Uardavägen,224.067673,13.22919518,55.71574858
9815,5647,residential,Östratornsvägen,81.17618718,13.22943348,55.71161957
9816,5650,residential,Skarpskyttevägen,51.39342704,13.20214184,55.72078361
9817,5651,tertiary,Magistratsvägen,387.6895899,13.20377372,55.72069488
9818,5651,tertiary,Magistratsvägen,387.6895899,13.20455931,55.72062303
9819,5651,tertiary,Magistratsvägen,387.6895899,13.20534504,55.72055166
9820,5651,tertiary,Magistratsvägen,387.6895899,13.20613129,55.72048225
9821,5651,tertiary,Magistratsvägen,387.6895899,13.20691978,55.72042136
9822,5651,tertiary,Magistratsvägen,387.6895899,13.20770837,55.72036093
9823,5651,tertiary,Magistratsvägen,387.6895899,13.20849385,55.7202889
9824,5655,secondary,Tornavägen,79.06505105,13.21134602,55.70038832
9825,5659,residential,Delfinvägen,266.6891469,13.21335225,55.7228989
9826,5659,residential,Delfinvägen,266.6891469,13.21333172,55.72245033
9827,5659,residential,Delfinvägen,266.6891469,13.21332433,55.72200124
9828,5659,residential,Delfinvägen,266.6891469,13.21331595,55.72155208
9829,5659,residential,Delfinvägen,266.6891469,13.21330289,55.72110294
9830,5662,service,Tycho Brahes väg,186.9998832,13.21279239,55.70932592
9831,5662,service,Tycho Brahes väg,186.9998832,13.21358428,55.70936496
9832,5662,service,Tycho Brahes väg,186.9998832,13.21436745,55.70944375
9833,5664,cycleway, ,184.986815,13.21088298,55.7203545
9834,5664,cycleway, ,184.986815,13.21166039,55.72044946
9835,5664,cycleway, ,184.986815,13.21245377,55.720472
9836,5665,cycleway, ,104.7480546,13.20964205,55.71991953
9837,5665,cycleway, ,104.7480546,13.20916072,55.71958065
9838,5667,cycleway, ,327.9916192,13.21363959,55.72167136
9839,5667,cycleway, ,327.9916192,13.21364947,55.72212052
9840,5667,cycleway, ,327.9916192,13.21365965,55.72256967
9841,5667,cycleway, ,327.9916192,13.21366422,55.72301886
9842,5667,cycleway, ,327.9916192,13.2136738,55.72346793
9843,5667,cycleway, ,327.9916192,13.21320284,55.72378892
9844,5668,cycleway, ,786.2934738,13.21277925,55.72064476
9845,5668,cycleway, ,786.2934738,13.21198444,55.72062335
9846,5668,cycleway, ,786.2934738,13.21120004,55.72055001
