id,ORIG_FID,fclass,name,Shape_Length,longitude,latitude
10137,5935,residential,Råbylundsvägen,435.9047531,13.23413349,55.6898566
10138,5945,secondary, ,108.6522185,13.17080153,55.68063837
10139,5945,secondary, ,108.6522185,13.1715943,55.68060553
10140,5950,tertiary,Brunnshögsgatan,153.4016935,13.23071025,55.71645068
10141,5950,tertiary,Brunnshögsgatan,153.4016935,13.22997211,55.71628495
10142,5950,tertiary,Brunnshögsgatan,153.4016935,13.22919404,55.71619596
10143,5951,path, ,188.64248,13.20789902,55.69497586
10144,5951,path, ,188.64248,13.20869431,55.69497224
10145,5951,path, ,188.64248,13.20947676,55.69499929
10146,5956,service,Ammonitgatan,59.01821094,13.23043632,55.69135167
10147,5959,cycleway, ,133.2510435,13.23872689,55.69064764
10148,5959,cycleway, ,133.2510435,13.2395215,55.69062986
10149,5960,cycleway, ,156.7410684,13.23082121,55.6906885
10150,5960,cycleway, ,156.7410684,13.23150333,55.69045773
