OBJECTID,point_id,longitude,latitude,fclass,name,depression_score,aesthetic_score,safety_score,vitality_score,start_count,end_count,road_length,ghs_population,log_start,log_end,start_end_count,log_total_count,poi_catering_density,poi_health_density,poi_leisure_density,poi_public_facility_density,poi_shopping_density,poi_tourism_density,poi_transit_density,boringness_score,wealth_score,poi_transit_dist,poi_transit_dist_500,poi_catering_dist,poi_shopping_dist,poi_health_dist,poi_leisure_dist,poi_public_facility_dist,poi_tourism_dist
3381,3796,13.23088814,55.70730567,cycleway,,0.391791922,0.376868773,0.214227134,0.328313763,26,72,537.8343352,50.71254349,3.295836866,4.290459441,98,4.59511985,0,0,0,0,0,0,0,0.339631505,0.329200242,89.16012285,89.16012285,702.5336568,779.8754095,829.5015408,153.0181458,400.7440214,570.9457187
3382,3797,13.23100854,55.70687673,cycleway,,0.374203698,0.575872503,0.37353062,0.107520496,24,73,525.259112,50.71254349,3.218875825,4.304065093,97,4.584967479,0,0,0,0,0,0,1,0.146871662,0.186440931,40.96062868,40.96062868,679.9872227,810.4383463,853.5435403,108.7141338,445.6718018,586.2482898
3383,3798,13.25332453,55.70194445,cycleway,,0.321834999,0.32575434,0.339024295,0.255277745,0,0,362.2681246,15.304245,0,0,0,0,0,0,0,0,0,0,0,0.245289771,0.453011164,108.9254258,108.9254258,1098.064886,690.01326,1030.566729,58.71023449,743.6565564,1065.72966
3384,3799,13.2540993,55.70203947,cycleway,,0.189518915,0.151335244,0.095337726,0.169716215,0,0,347.1761295,12.52512646,0,0,0,0,0,0,0,0,0,0,0,0.209952394,0.349316573,59.65920734,59.65920734,1138.756338,730.5220693,1071.795934,70.61134737,784.376064,1106.141562
3385,3800,13.25463339,55.70164893,cycleway,,0.184459186,0.184737382,0.281764555,0.226113957,0,0,199.3088769,12.52512646,0,0,0,0,0,0,0,0,0,0,0,0.187084046,0.289218107,51.16800206,51.16800206,1131.365528,778.5243643,1065.546626,125.1170805,832.1979826,1098.293117
3386,3801,13.25472361,55.70120317,cycleway,,0.280338214,0.293298424,0.258957489,0.284438299,0,0,181.4335183,12.52512646,0,0,0,0,0,0,0,0,0,0,0,0.266138513,0.259214042,95.83563165,95.83563165,1101.666311,805.213118,1036.816917,167.9235183,858.4958295,1068.302414
3387,3802,13.2546815,55.70075489,cycleway,,0.298761442,0.550002775,0.417073736,0.20304713,0,0,278.0775735,3.560955286,0,0,0,0,0,0,0,0,0,0,0,0.204073782,0.305607027,145.374094,145.374094,1066.912258,827.0009147,1003.040398,210.4726389,879.7288319,1033.319033
3388,3803,13.25355345,55.70121235,path,,0.346626363,0.40547995,0.276312977,0.326119526,0,0,391.8298506,15.304245,0,0,0,0,0,0,0,0,0,0,0,0.302684906,0.460305981,131.9367143,131.9367143,1048.857626,740.1110698,982.7674015,141.200015,792.9671425,1015.892489
3389,3804,13.25303023,55.70136899,service,,0.447133957,0.452436838,0.318670718,0.271999511,0,1,413.9251569,15.304245,0,0.693147181,1,0.693147181,0,0,0,0,0,0,0,0.268784553,0.570232585,147.4588206,147.4588206,1038.35599,702.908907,971.4621415,123.6554712,755.750061,1005.724533
3390,3805,13.25280104,55.70131955,cycleway,,0.447039059,0.450749625,0.319019852,0.270675785,0,1,431.6498847,15.304245,0,0.693147181,1,0.693147181,0,0,0,0,0,0,0,0.26816617,0.569486611,162.6786877,162.6786877,1024.488953,693.2749395,957.4535009,131.6215545,745.9228685,991.9264304
3391,3806,13.25255287,55.701009,cycleway,,0.458774526,0.591277044,0.717218913,0.414505199,0,0,385.874252,17.72389793,0,0,0,0,0,0,0,0,0,0,0,0.381369848,0.553573225,194.6476738,194.6476738,988.635322,698.6761312,921.8835105,168.9863037,750.6211903,955.9477138
3392,3807,13.2534134,55.70112363,service,,0.320577142,0.283949465,0.175069945,0.250091507,0,0,364.8894074,15.304245,0,0,0,0,0,0,0,0,0,0,0,0.217193017,0.348689943,145.1409592,145.1409592,1035.654459,737.502358,969.5877525,150.2433984,790.1614422,1002.682538
3393,3808,13.25127758,55.7020846,residential,Ellidagatan,0.410945911,0.410273297,0.510013171,0.319346966,0,0,248.1405382,14.16069508,0,0,0,0,0,0,0,0,0,0,0,0.295316143,0.524178229,237.0610245,237.0610245,1029.556438,567.8642896,960.3510957,123.5637217,620.9742673,998.5656155
3394,3809,13.24875515,55.70246294,residential,Drapavägen,0.674455307,0.727886848,0.517186038,0.327059254,0,0,262.4687475,25.35579872,0,0,0,0,0,0,0,0,0,0,0,0.337345114,0.636121176,271.6220393,271.6220393,982.9607434,410.2779409,912.6660043,189.186675,462.3412255,954.6465572
3395,3810,13.24942374,55.70275808,cycleway,,0.382560516,0.418960094,0.493467958,0.320735216,0,0,257.4231403,14.27752113,0,0,0,0,0,0,0,0,0,0,0,0.286663404,0.68473091,323.7828857,323.7828857,1031.496165,429.8091203,961.2432655,137.6584448,483.1498915,990.5496993
3396,3811,13.2462269,55.70256159,cycleway,,0.631596133,0.716776609,0.508138789,0.454230711,0,0,295.8236042,23.07768631,0,0,0,0,0,0,0,0,0,0,0,0.416964412,0.77303455,144.4547019,144.4547019,932.6308953,283.6923035,863.1122176,337.2780367,330.4188721,891.2517536
3397,3812,13.246354,55.70211866,cycleway,,0.125936046,0.098929331,0.035559278,0.035230026,0,0,226.2132425,23.07768631,0,0,0,0,0,0,0,0,0,0,0,0.068062954,0.126462147,121.9415986,121.9415986,888.4142198,327.6811465,818.6445119,343.3163591,372.1451083,862.9471346
3398,3813,13.24655454,55.70168447,cycleway,,0.664992705,0.676092949,0.620972849,0.37532164,0,0,401.4635813,33.2483139,0,0,0,0,0,0,0,0,0,0,0,0.279159931,0.660075869,111.6211452,111.6211452,847.3984512,374.8159518,777.3751814,351.7957152,417.6961757,821.1995101
3399,3814,13.24608948,55.70145538,cycleway,,0.515450966,0.651712816,0.73828109,0.420273555,0,0,425.2992765,33.2483139,0,0,0,0,0,0,0,0,0,0,0,0.361724081,0.722455736,79.00682779,79.00682779,813.2769143,382.4596698,743.4194118,389.7352138,421.9858058,787.592926
3400,3815,13.24629754,55.70102191,cycleway,,0.516214717,0.651788827,0.739971478,0.421332688,0,0,219.744241,33.2483139,0,0,0,0,0,0,0,0,0,0,0,0.36237321,0.723993685,103.091825,103.091825,772.8704694,431.5292721,702.7599798,405.1641535,470.0279783,746.3697668
3401,3816,13.24562965,55.70086474,cycleway,,0.365862658,0.533599809,0.459358556,0.354014728,0,0,421.5312477,25.71975899,0,0,0,0,0,0,0,0,0,0,0,0.30319405,0.327511273,81.1768323,81.1768323,741.640903,431.623534,671.8437337,449.4432849,466.0981042,716.1392321
3402,3817,13.24488053,55.70074104,cycleway,,0.36310818,0.390204044,0.423108871,0.232903808,0,0,453.8658606,25.71975899,0,0,0,0,0,0,0,0,0,0,0,0.314699862,0.337374085,77.71309692,77.71309692,714.0684339,431.6864929,644.8880706,496.1262441,461.4048604,689.9131762
3403,3818,13.24411701,55.70061508,cycleway,,0.306000663,0.387314805,0.283084246,0.175126211,0,0,391.0181694,25.71975899,0,0,0,0,0,0,0,0,0,0,0,0.190502011,0.18703726,102.1244752,102.1244752,688.4448239,437.4359976,620.2216312,544.1303104,461.9512078,665.8583199
3404,3819,13.24125965,55.70564452,residential,Skolrådsvägen,0.253357552,0.224026757,0.33460223,0.229967731,8,0,220.629558,19.97267914,2.197224577,0,8,2.197224577,0,0,0,0,0,0,0,0.217950304,0.369273707,227.4917791,227.4917791,1227.543428,180.9397925,1169.503353,680.9871433,134.6478157,448.5575309
3405,3820,13.24211531,55.70525787,residential,Storskolevägen,0.665824018,0.629891947,0.72119236,0.42575876,11,0,296.8746232,34.69050217,2.48490665,0,11,2.48490665,0,0,0,0,0,0,0,0.396455783,0.68464591,170.8926635,170.8926635,1188.485118,112.4965061,1125.022906,631.8413742,70.60173708,507.2412807
3406,3821,13.24233246,55.70482573,residential,Storskolevägen,0.510846131,0.494013462,0.626789473,0.451223172,4,0,377.5015718,46.08657837,1.609437912,0,4,1.609437912,0,0,0,1,0,0,0,0.316736113,0.655211948,120.8962469,120.8962469,1140.793689,71.82504712,1076.952212,602.9199453,21.30394573,556.9902373
3407,3822,13.23826768,55.70638816,service,Skolrådsvägen,0.665122129,0.688243218,0.467211833,0.299079423,0,0,250.7841449,52.09695435,0,0,0,0,0,0,0,0,0,0,0,0.386677533,0.553592723,400.7444954,400.7444954,1067.33005,380.5551925,1196.978249,494.422211,328.8571963,349.0023195
3408,3823,13.23662381,55.70476679,service,Kulramsvägen,0.514397077,0.667094097,0.363329445,0.175630948,1,0,251.1152877,61.74563217,0.693147181,0,1,0.693147181,0,0,0,0,0,0,0,0.261867933,0.335557896,292.5664961,292.5664961,922.9810626,422.96609,1126.019205,410.6204688,370.7064562,548.1800884
3409,3824,13.23510126,55.70482023,path,,0.453962624,0.438317701,0.263944957,0.226413236,3,0,419.9811071,31.22947121,1.386294361,0,3,1.386294361,0,0,0,0,0,0,0,0.230335485,0.322737994,308.614345,308.614345,829.9422425,518.8455605,1164.390056,319.1025579,466.5475485,577.3640729
3410,3827,13.23370257,55.70383249,service,Mäster Eriks väg,0.661879301,0.644275106,0.62370592,0.329356879,8,0,234.9678829,56.96772003,2.197224577,0,8,2.197224577,0,0,0,0,0,0,0,0.323283963,0.479874376,230.8969969,230.8969969,728.022076,610.5100955,1100.920569,312.8616867,338.5361152,583.1682742
3411,3828,13.18784966,55.69317644,cycleway,,0.616931766,0.806982934,0.641652521,0.462643173,159,182,355.5981291,33.25176239,5.075173815,5.209486153,341,5.834810737,0,0,0,0,0,0,0,0.383795144,0.725167029,128.3638499,128.3638499,327.8366471,272.7146894,569.3962376,311.6282508,59.42033378,453.2841299
3412,3829,13.18770295,55.69273497,cycleway,,0.693211999,0.835114494,0.537000004,0.385101052,158,188,368.7983856,33.25176239,5.068904202,5.241747015,346,5.84932478,0,0,0,1,0,0,0,0.505117096,0.69832626,122.8077287,122.8077287,360.8741219,309.1704177,561.2575204,295.3352361,49.76123185,497.8893608
